city,wage,housing_price,time
北京,9758.13,58666,51
天津,5780.11,18925,28
石家庄,5690.66,14662,23
太原,6185.4,10817,16
呼和浩特,6847.37,11640,15
沈阳,5011.17,10264,18
长春,4984.99,9569,17
哈尔滨,5642.21,9888,16
上海,8573.58,53510,53
南京,7131.29,30059,36
杭州,7543.29,30917,35
合肥,6333.22,15717,22
福州,5782.77,24010,36
南昌,5991.44,12029,18
济南,5857.14,15664,23
郑州,5881.93,13514,20
长沙,6280.98,10386,15
武汉,6319.35,17029,23
广州,6753.84,35114,44
南宁,5895.88,11357,17
海口,5627.71,16210,25
重庆,6466.13,12126,17
成都,6498.83,14314,19
贵阳,5974.96,8739,13
昆明,5668.16,13637,21
拉萨,7055.56,12764,16
西安,5950.36,13364,20
兰州,5833.0,13011,20
西宁,5351.85,10521,17
银川,5603.45,7327,12
乌鲁木齐,6042.48,8553,13
